User ID,Bet
User0001,0.7176
User0002,4.9748
User0003,4.5612
User0004,3.8719
User0005,3.3734
User0006,0.8604
User0007,2.1323
User0008,4.5209
User0009,3.0706
User0010,1.2864
User0011,2.1658
User0012,3.6747
User0013,6.997
User0014,4.0203
User0015,9.5105
User0016,4.6715
User0017,1.0338
User0018,1.7763
User0019,3.8512
User0020,7.8752
User0021,3.6662
User0022,4.3905
User0023,0.6102
User0024,8.777
User0025,4.8623
User0026,1.5245
User0027,3.9352
User0028,3.9493
User0029,8.637
User0030,1.7506
User0031,2.6294
User0032,2.3819
User0033,7.4627
User0034,5.6866
User0035,7.5143
User0036,0.1371
User0037,6.0459
User0038,3.2931
User0039,2.6708
User0040,9.7034
User0041,7.7072
User0042,9.1212
User0043,4.4631
User0044,4.8104
User0045,4.2508
User0046,3.2739
User0047,4.3664
User0048,0.8686
User0049,6.0073
User0050,6.4121
User0051,0.6102
User0052,5.7996
User0053,2.7995
User0054,8.9706
User0055,2.1373
User0056,8.3209
User0057,4.1501
User0058,2.4686
User0059,5.108
User0060,7.9112
User0061,0.4854
User0062,4.9381
User0063,3.6565
User0064,4.0558
User0065,8.3893
User0066,1.8363
User0067,3.7054
User0068,4.9295
User0069,1.1331
User0070,2.4886
User0071,0.9328
User0072,2.0077
User0073,8.3045
User0074,1.8407
User0075,3.6495
User0076,8.6594
User0077,5.2426
User0078,7.3362
User0079,2.5784
User0080,3.3163
User0081,3.4286
User0082,5.5833
User0083,4.1685
User0084,6.7067
User0085,2.8353
User0086,4.5618
User0087,2.9678
User0088,0.6785
User0089,1.6374
User0090,7.279
User0091,3.7561
User0092,7.9316
User0093,0.5331
User0094,6.3943
User0095,6.3224
User0096,2.8308
User0097,4.4157
User0098,7.6429
User0099,0.8382
User0100,1.7695
User0101,4.4425
User0102,3.1505
User0103,5.2365
User0104,4.2306
User0105,2.4033
User0106,2.0051
User0107,6.7129
User0108,8.0284
User0109,3.936
User0110,9.433
User0111,2.6062
User0112,6.2948
User0113,0.5341
User0114,4.3346
User0115,2.8849
User0116,2.7043
User0117,1.6341
User0118,7.9762
User0119,3.9741
User0120,5.0409
User0121,2.942
User0122,3.6347
User0123,1.4349
User0124,4.4347
User0125,9.5319
User0126,7.4994
User0127,2.037
User0128,6.5555
User0129,0.6947
User0130,6.2615
User0131,3.2824
User0132,6.3891
User0133,9.9212
