User ID,Bet
user1334,5.9318
user1500,6.6758
user1080,9.5144
user1574,7.7045
user1243,6.3137
user1512,5.2244
user0282,5.019
user1297,6.6534
user0285,9.6354
user1184,7.9025
user1528,7.6235
user1106,7.0838
user1715,8.6693
user1256,8.4172
user1215,9.5037
user1675,5.2873
user1905,8.5091
user1257,8.6825
user1557,6.3056
user1833,9.5449
user1179,8.2403
user0404,8.731
user1213,9.1145
user1868,8.3955
user1142,9.6694
user0937,8.0764
user1219,5.6088
user0962,9.0017
user1016,8.6409
user0445,9.5413
user1356,8.3318
user1107,7.8325
user1719,8.8429
user1579,7.3821
user1213,8.861
user0009,8.0942
user1734,9.2322
user1492,9.049
user0193,5.2673
user0823,9.9759
user0968,7.4769
user1152,9.6402
user1416,5.2151
user0041,6.953
user1634,9.4466
user0614,5.602
user0774,6.8478
user1774,7.6039
user1690,8.7843
user0253,6.2619
user0958,9.4622
user0067,6.7749
user1640,5.9414
user1016,7.2645
user0379,9.9976
user0256,5.9506
user1949,6.2202
user0882,7.7456
user1323,7.6257
user0183,7.9308
user0021,9.322
user0686,8.0772
user0644,7.793
user1434,6.5434
user0831,8.1279
user1724,7.9504
user0824,6.3415
user0922,6.3143
user0285,7.3885
user1277,5.6608
user0499,6.1917
user1238,6.0286
user0582,9.2968
user1992,5.6651
user0884,9.7048
user1574,7.5278
user0789,5.3854
user0582,9.6735
user0686,7.0314
user0775,7.0931
user0840,7.1687
user0713,6.9895
user0686,5.9713
user1780,6.4329
user0118,8.6518
user1513,7.7779
user0509,6.5891
user0468,6.5047
user1331,8.1326
user1154,7.7087
user1099,8.7089
user0670,5.5378
user0655,6.5335
user1856,9.8487
user0692,9.9022
user1967,6.8657
user0180,8.1091
user1870,7.8648
user1975,6.2767
user1327,7.4878
user1391,8.5203
user0899,7.193
user0761,6.6701
user1611,8.1814
user1548,7.2325
user1441,5.6443
user1388,5.4209
user0317,8.1257
user0732,9.3228
user0024,5.9904
user1962,6.4419
user1686,7.2534
user1403,9.2244
user0739,9.2337
user1315,7.0767
user0946,9.3743
user1442,5.0275
user1378,7.4625
user1313,8.0642
user0997,6.4188
user1833,5.2198
user0505,5.3595
user1725,9.3967
user1634,5.9017
user0796,6.4507
user0409,8.9715
user0361,8.6701
user1849,7.2874
user1948,9.492
user1277,8.9034
user0131,9.6108
user1034,6.3292
user1697,8.7721
user1272,5.7297
user0444,7.981
user1027,8.9595
user1531,6.9248
user0394,5.3285
user1188,9.2175
user1056,8.5077
user0527,8.1557
user0750,9.3323
user0249,9.3014
user0072,7.1257
user0652,7.0929
user1235,6.6912
user1893,5.2132
user0151,6.7292
user0777,8.0663
user1503,8.475
user0917,7.9684
user0346,5.7372
user0399,9.4604
user1505,5.4741
user1886,6.4899
user1245,8.7977
user0302,7.4397
user1717,9.5217
user1613,7.4958
user1402,9.5054
user0816,7.599
user0069,6.1632
user1292,9.1296
user1490,9.4564
user0710,6.1639
user1616,7.263
user0454,8.7649
user1684,6.2581
user1332,9.4746
user0722,6.6544
user0098,5.6249
user1750,5.5506
user0823,6.3178
user0297,7.2232
user0526,5.6865
user1338,6.0062
user1322,9.2558
user0037,9.4193
user1820,6.6857
user1915,8.2187
user1096,9.6849
user1337,5.0402
user1947,6.6527
user1946,8.3973
user0673,7.907
user0262,8.999
user1726,6.1646
user1809,9.1551
user0406,8.8431
user0569,5.7697
user1351,5.5873
user0918,9.6307
user0966,5.676
user0006,9.2961
user1976,6.553
user1967,5.1309
user0006,5.5936
user1924,7.1967
user1320,9.5015
user1986,9.7675
user0290,5.6195
user1481,6.2064
user1009,5.8895
user1878,8.8052
user0900,7.9876
user1180,9.4737
user1934,5.6279
user1487,9.8309
user1888,9.2371
user0038,9.9199
user0858,9.8474
user1111,7.555
user0715,6.2272
user1467,8.5532
user0220,6.3821
user0083,6.6726
user0516,9.6022
user1194,6.4482
user0391,6.0115
user1140,9.1195
user1938,7.9022
user1125,5.883
user1289,9.293
user0430,5.4624
user0870,7.4805
user1556,5.7743
user0729,6.9019
user0149,8.4343
user0694,7.3673
user0592,8.4614
user0733,5.2942
user1351,8.8678
user1540,6.208
user1430,5.158
user1624,9.0711
user0840,7.2651
user1033,6.1833
user0336,5.2525
user0851,9.3812
user1121,8.9434
user1322,8.7788
user1404,9.2691
user0045,9.5268
user1277,6.7928
user1587,7.6812
user0449,9.0903
user0521,5.2904
user0686,7.9011
user0811,9.9686
user0465,8.5639
user0613,8.7693
user0992,6.2789
user1842,7.441
user1939,8.6315
user1967,5.6968
user1866,8.888
user0932,8.2278
user1778,7.2925
user0331,9.1451
user0119,6.3729
user0791,8.7168
user0691,9.067
user0798,5.565
user1108,5.1597
user0783,7.1754
user1508,6.0106
user0316,6.0957
user1349,9.0476
user1646,8.0993
user0564,5.6493
user0605,5.7979
user0938,5.8691
user0153,7.8505
user1367,6.8953
user0683,9.4581
user0320,9.9596
user1479,6.3968
user1146,5.4798
user1965,5.5958
user0863,9.698
user0812,8.3123
user0472,5.7977
user1024,7.0398
user1426,7.385
user0647,7.9492
user0457,7.456
user0529,5.2754
user0694,6.1967
user0635,7.7278
user0572,6.539
user0918,5.2388
user1703,6.4684
user1377,7.0181
user1913,9.6164
user1802,9.6189
user0830,9.446
user0647,7.0404
user0672,6.5383
user0754,9.2353
user1661,8.9061
user0818,9.2929
user0795,9.2489
user0490,9.7514
user0754,8.265
user0543,6.6543
user0021,7.0621
user0900,9.0296
user1852,9.7837
user1894,5.8924
user0978,7.4174
user0359,9.3181
user1454,7.5367
user1350,5.5795
user0245,7.1209
user1329,9.2384
user0098,6.4591
user1595,6.1761
user1988,5.6057
user1874,7.3008
user1675,8.1579
user1035,8.1876
user1653,7.516
user1274,6.8727
user1447,8.4845
user1833,5.6987
user0566,5.1468
user0637,8.8075
user1681,8.3058
user0361,8.7879
user0610,7.7409
user1505,8.7373
user1462,6.7403
user0761,7.2455
user1366,7.5346
user1567,6.3274
user0460,7.5773
user1375,5.388
user1966,9.2611
user1456,6.8876
user0287,5.4932
user0280,7.3877
user1962,7.9487
user1401,5.7767
user0944,5.1482
user0417,8.6121
user0796,8.5928
user0437,7.5049
user1056,8.6007
user0938,8.4274
user0604,5.5124
user1487,7.1219
user1376,9.2636
user1713,9.7416
user0870,6.8552
user1765,8.6846
user1593,9.0514
user1775,7.2663
user1085,9.9553
user1391,8.2554
user1898,8.1406
user1935,7.0708
user1661,6.8609
user1596,7.7909
user1795,9.5857
user0687,5.6954
user0922,6.972
user0383,9.1146
user1505,6.1048
user1730,7.0208
user1071,5.1317
user1145,9.8046
user1539,8.1484
user0326,9.6779
user0176,9.342
user0730,9.3674
user0334,5.9073
user0365,6.5709
user1487,9.9899
user0995,5.1355
user0213,6.7964
user1364,5.9948
user1243,7.3935
user1422,8.9651
user0641,5.6879
user1726,9.7733
user1398,7.8291
user1708,8.9146
user1830,6.331
user0688,6.4458
user1492,9.4442
user0086,5.3437
user1830,7.5526
user1861,9.3413
user0932,6.3672
user1016,6.1619
user0307,8.0836
user0182,7.4699
user1598,9.6558
user0314,8.3935
user0952,8.4193
user1057,8.386
user1497,5.4119
user0251,6.1683
user0491,8.7255
user1813,7.0367
user1701,8.0199
user1883,9.2197
user0870,5.4675
user0965,9.2607
user0418,7.5086
user0820,9.6489
user1420,9.6741
user0268,9.4721
user0568,8.5309
user0483,6.4454
user1807,9.6978
user0923,8.1723
user1162,6.2366
user1828,5.2993
user0404,9.7797
user0927,6.7594
user0098,8.4836
user0885,7.5061
user1958,5.4021
user1690,5.2925
user0952,5.1525
user1001,5.1503
user0173,8.8729
user1265,9.9578
user0129,6.0875
user1569,6.1116
user1858,6.5953
user1093,8.7259
user0392,9.4795
user1298,7.0925
user0628,6.8021
user0456,6.2805
user1483,5.9924
user1447,5.8769
user0094,7.7642
user1921,5.193
user0586,9.0135
user0100,5.8331
user0795,8.6053
user1126,6.6251
user1189,7.5641
user0719,6.3593
user1036,7.3477
user1889,6.0574
user1426,5.0042
user0613,8.7916
user1919,8.5106
user1771,9.4945
user1784,6.4887
user1447,6.0467
user0131,9.4411
user1011,5.4958
user1160,5.0927
user0598,9.9629
user1543,8.6156
user0059,6.5194
user0028,8.7955
user0519,7.5109
user1261,7.6554
user0482,9.0131
user1442,7.5708
user1472,5.8919
user0592,6.561
user1482,7.3045
user0482,9.4713
user0690,9.1456
user0088,5.5131
user1810,7.2803
user1746,6.1751
user1701,5.8897
user0401,9.957
user0891,5.0857
user1994,6.6316
user1822,5.917
user0646,9.8421
user1190,7.8334
user1860,9.6833
user1567,5.5635
user0129,5.3878
user0913,6.5786
user1610,5.8923
user0116,9.8061
user0499,5.3366
user0090,8.175
user1715,8.9254
user0467,6.9208
user1636,5.2385
user0760,6.4446
user1564,8.0275
user0915,6.1091
user0696,6.4292
user1525,6.9942
user1678,7.4724
user1754,8.7723
user0674,6.2044
user0814,7.5808
user1545,8.9953
user1386,9.3996
user1492,8.6744
user1985,7.1599
user1418,8.7586
user1020,9.6202
user0443,5.2571
user1343,6.1164
user1824,7.9256
user0065,9.2768
user1571,7.9008
user0230,5.884
user1789,5.6219
user1219,5.6453
user0585,8.5497
user0432,6.9219
user1796,8.001
user1572,9.1967
user1143,9.0132
user0701,9.9222
user0014,8.5378
user0325,8.9193
user1687,8.8911
user1162,8.3689
user0019,8.2375
user0745,5.2207
user0527,9.1511
user0419,6.8262
user0737,7.0504
user1479,6.0115
user0489,6.2879
user0708,5.8335
user0237,6.4359
user0416,7.8005
user1203,7.4208
user1756,9.5265
user0768,7.6456
user0159,9.6376
user0955,9.4668
user1130,6.5616
user0010,7.3532
user0349,5.3292
user0200,7.1553
user0895,7.5976
user1363,6.2131
user0382,8.6626
user0120,9.7482
user1430,6.8079
user0969,6.0711
user1954,5.9598
user0440,8.4333
user0661,8.721
user0159,5.6042
user0737,8.2204
user0323,6.9419
user1419,8.7567
user0964,7.6381
user1644,9.6333
user0458,7.7035
user0720,5.5596
user0774,6.965
user1929,7.1373
user0469,9.748
user0941,7.4431
user0350,9.9872
user1936,9.511
user1481,5.9853
user0891,9.9005
user1266,5.3558
user0325,5.438
user0571,9.2424
user0875,7.612
user0984,6.0557
user0235,9.1625
user0101,9.8973
user1514,5.7297
user1033,6.6515
user0828,9.3164
user1116,7.8178
user0611,5.6871
user1219,8.7137
user1538,8.7019
user1348,9.5125
user1271,7.6984
user1243,7.4865
user1526,7.9381
user1340,9.2118
user0943,7.0638
user0647,9.2691
user1545,7.2072
user0710,7.0809
user1143,7.5862
user0344,5.0626
user0658,6.6939
user1218,9.2394
user1169,9.6647
user1953,6.3101
user0699,5.3006
user0968,9.6203
user1788,7.1005
user0317,9.9165
user1994,6.7916
user0895,6.9484
user0299,8.2591
user1275,6.7589
user0252,6.4236
user1874,6.1296
user0417,8.6552
user1022,5.9985
user0506,9.5564
user1863,9.2089
user1925,7.8672
user1608,6.5907
user1598,5.4069
user1687,9.5565
user1176,6.4542
user1898,6.1323
user1233,5.8977
user1936,7.4557
user1727,8.1045
user1455,8.9229
user0283,5.877
user1876,7.4382
user0530,5.8318
user1992,6.8404
user1707,9.2243
user0645,9.1653
user0529,9.8003
user1412,6.938
user0307,7.6834
user0217,8.5102
user1764,7.6066
user0780,8.4825
user0676,7.8508
user0687,9.0282
user0531,7.2751
user0159,6.4824
user0189,5.3245
user0665,8.7411
user1326,7.1509
user1059,8.7493
user1558,7.5822
user0910,9.5668
user1397,9.7095
user1214,8.6072
user0694,9.3569
user1661,7.0254
user0024,7.9857
user1252,6.2502
user1233,7.9018
user0972,5.3359
user1946,9.345
user1661,5.1539
user1335,9.5896
user1049,5.3225
user0527,5.4029
user0549,7.1778
user0932,5.2143
user0382,7.2806
user0571,9.3081
user1251,7.9699
user1429,7.7829
user0203,5.9154
user0332,5.5128
user0173,5.6547
user0355,7.5427
user1759,9.6221
user1957,8.1298
user0351,7.9758
user0219,9.6061
user0492,8.446
user1714,9.4609
user1573,8.4939
user1848,9.4874
user1787,9.9442
user1339,5.2881
user1194,9.2753
user0719,7.1395
user0546,8.7669
user1522,5.993
user0169,9.3986
user0537,8.4886
user1546,5.8004
user0993,6.4956
user0292,8.5935
user1361,5.9146
user0539,5.1805
user1273,9.7407
user0807,6.5105
user1551,7.0899
user0620,6.911
user0185,5.5341
user0879,6.6337
user0664,7.9641
user1597,8.0695
user0258,9.6916
user1497,7.6764
user0709,7.0614
user1417,8.9205
user0315,6.2829
user1624,5.2926
user0914,6.7563
user1693,5.8883
user0391,6.6228
user1580,7.76
user1671,5.8291
user1447,9.2722
user1665,8.6757
user1789,9.02
user1882,6.5259
user1277,6.1235
user0010,9.8533
user1011,5.6305
user1889,6.8762
user1524,8.1991
user1893,8.6357
user1394,9.7293
user0880,6.2003
user1291,9.2746
user1257,6.5443
user0313,8.4408
user1630,7.3805
user0758,6.9472
user1233,8.6584
user1656,8.0257
user1879,8.8538
user0063,9.465
user1358,7.3377
user0735,5.2996
user1880,6.9438
user0313,8.3311
user1991,5.9872
user0708,6.3357
user0921,6.5401
user1519,5.0636
user0924,8.1256
user0488,9.695
user0801,6.8318
user0338,6.0206
user0933,8.58
user0215,8.4361
user1203,6.4709
user0858,5.0539
user1616,9.5248
user0144,9.1189
user0333,6.1032
user1987,9.6477
user1898,6.0222
user1477,8.2553
user1475,7.6432
user0996,6.088
user1620,6.9676
user0331,9.4475
user0204,8.2848
user1674,6.4026
user1953,7.157
user1648,8.1265
user0712,5.0144
user0069,6.2993
user1890,5.9076
user1570,6.0112
user0698,5.8618
user0197,5.7656
user1104,7.8044
user0061,8.1367
user1969,8.1467
user0274,6.6652
user0585,9.4144
user0464,5.0576
user1133,9.8667
user0182,9.6561
user0536,7.9792
user1024,7.6196
user0587,6.0087
user1111,6.0097
user0046,9.5678
user1306,9.3137
user0665,7.2221
user0730,9.414
user0160,9.7483
user1366,7.3465
user0736,8.7614
user1177,7.5449
user0220,7.5186
user0833,8.7772
user1913,8.2987
user0742,8.5389
user1174,8.4607
user1837,9.5074
user0760,7.8119
user0910,9.9105
user0436,8.2912
user0140,5.9731
user1652,9.8158
user1379,6.4278
user0722,8.7531
user1450,8.3152
user1529,9.3764
user0599,8.346
user0902,9.8693
user1482,6.4963
user1070,6.1976
user1499,9.9175
user0234,7.3794
user1979,7.645
user1195,6.0689
user0521,5.7421
user1373,9.3432
user0157,5.6305
user1421,6.3731
user1835,8.3567
user0282,7.5353
user1563,9.2993
user1152,6.7417
user0836,7.6864
user1750,6.1992
user1925,9.8338
user0983,6.7379
user1437,7.2942
user1133,7.74
user1678,9.3832
user1613,8.529
user1739,6.8232
user1868,6.1811
user0243,6.8608
user0120,7.6691
user0986,9.4862
user0869,6.7287
user1933,6.4676
user0625,5.1787
user1949,6.8773
user1440,8.3171
user0676,7.6384
user0635,5.9697
user1956,7.6394
user1430,9.8145
user1882,6.3912
user0871,8.2677
user0326,8.6432
user1837,7.303
user1784,7.9188
user1372,9.5239
user0071,5.4432
user0555,5.682
user0353,9.3204
user0886,8.9225
user0330,7.5738
user0845,6.6516
user1377,9.2085
user0530,5.0115
user1861,6.9776
user0719,5.982
user0600,9.0845
user1595,9.9495
user1879,8.0345
