--- 紅包1 ---
RoundId :Mexico-UNITTest-01-GA10000    #第幾局
ValidBet1V1 :35.0    #投注金額
RoundId :Mexico-UNITTest-01-GA10009
ValidBet1V1 :89.0
RoundId :Mexico-UNITTest-01-GA10006
ValidBet1V1 :38.0
RoundId :Mexico-UNITTest-01-GA10003
ValidBet1V1 :7.0
RoundId :Mexico-UNITTest-01-GA10001
ValidBet1V1 :38.0
RoundId :Mexico-UNITTest-01-GA10007
ValidBet1V1 :20.0
RoundId :Mexico-UNITTest-01-GA10005
ValidBet1V1 :37.0
RoundId :Mexico-UNITTest-01-GA10008
ValidBet1V1 :81.0
RoundId :Mexico-UNITTest-01-GA10002
ValidBet1V1 :12.0
RoundId :Mexico-UNITTest-01-GA10004
ValidBet1V1 :24.0
Average :24.714285714285715
--- 紅包2 ---
RoundId :Mexico-UNITTest-01-GA10014
ValidBet1V1 :21.0
RoundId :Mexico-UNITTest-01-GA10011
ValidBet1V1 :7.0
RoundId :Mexico-UNITTest-01-GA10012
ValidBet1V1 :41.0
RoundId :Mexico-UNITTest-01-GA10010
ValidBet1V1 :8.0
RoundId :Mexico-UNITTest-01-GA10015
ValidBet1V1 :5.0
RoundId :Mexico-UNITTest-01-GA10013
ValidBet1V1 :20.0
RoundId :Mexico-UNITTest-01-GA10016
ValidBet1V1 :23.0
RoundId :Mexico-UNITTest-01-GA10018
ValidBet1V1 :95.0
RoundId :Mexico-UNITTest-01-GA10019
ValidBet1V1 :96.0
RoundId :Mexico-UNITTest-01-GA10017
ValidBet1V1 :12.0
Average :13.714285714285714
--- 紅包3 ---
RoundId :Mexico-UNITTest-01-GA10029
ValidBet1V1 :6.0
RoundId :Mexico-UNITTest-01-GA10034
ValidBet1V1 :24.0
RoundId :Mexico-UNITTest-01-GA10033
ValidBet1V1 :20.0
RoundId :Mexico-UNITTest-01-GA10028
ValidBet1V1 :8.0
RoundId :Mexico-UNITTest-01-GA10036
ValidBet1V1 :36.0
RoundId :Mexico-UNITTest-01-GA10030
ValidBet1V1 :37.0
RoundId :Mexico-UNITTest-01-GA10037
ValidBet1V1 :13.0
RoundId :Mexico-UNITTest-01-GA10035
ValidBet1V1 :30.0
RoundId :Mexico-UNITTest-01-GA10031
ValidBet1V1 :20.0
RoundId :Mexico-UNITTest-01-GA10032
ValidBet1V1 :45.0
Average :17.285714285714285
